Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0009,0.0013,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,0.0026,95.8903,0.0469,0.0464,95.8906,116.9371,116.9375,161.8001,space,44.8389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,161.8066,0,165.5809,s,3.7587,,168.0901,168.5865,167.5877,168.0899,166.5826,99,167.5872,168.5867,169.0835,169.0839,171.6536,393.8,171.6542,1,172.6531,0,0,0,16,1,1,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,172.6536,0,172.6551,,,,174.9684,175.4648,174.4654,174.9682,173.6591,359,174.4652,175.4648,175.9616,175.9618,177.1255,685.1,177.1257,2,178.1251,0,1,1,0,1,0.8,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,178.1257,0,178.1259,,,,180.8347,181.3309,180.3316,180.8345,179.1288,49,180.3314,181.331,181.8279,181.828,183.0641,835.8,183.0645,1,184.0639,0,2,2,17,1,1.2,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,184.0644,0,184.0648,,,,186.9733,187.4697,186.4704,186.973,185.068,140,186.4701,187.4697,187.9667,187.9667,189.7121,1461,189.7123,3,190.7118,0,3,3,3,1,1.4,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,190.7122,0,190.7125,,,,193.225,193.7237,192.7191,193.2248,191.7124,176,192.7189,193.7238,194.2207,194.2208,195.4088,826.5,195.409,2,196.4084,0,4,4,26,1,1,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,196.4089,0,196.4093,,,,198.7178,199.2142,198.2149,198.7176,197.4089,69,198.2147,199.2143,199.7111,199.7113,201.0203,1005.8,201.0207,4,202.0199,0,5,5,20,1,0.8,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,202.0204,0,202.0207,,,,204.3294,204.8257,203.8264,204.3291,203.0205,268,203.8261,204.8258,205.3227,205.3228,206.3288,995.4,206.3292,4,207.3286,0,6,6,5,1,0.8,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,207.3293,0,207.3296,,,,210.2379,210.7343,209.7363,210.2377,208.329,114,209.7361,210.7343,211.2313,211.2314,213.8344,992.8,213.8347,2,214.8309,0,7,7,13,1,1.4,0.3,Time
