Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001,0.0003,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,0.0015,70.6489,0.0343,0.0342,70.6489,80.8155,80.8156,246.1565,space,165.2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,246.1646,0,249.1563,s,2.9761,,251.6814,252.1813,251.1733,251.6813,250.1651,310,251.1732,252.1813,252.6813,252.6815,258.6899,9999,258.6901,0,259.6896,0,0,0,29,1,1,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,259.69,0,259.6911,,,,262.408,262.9062,261.8997,262.408,260.698,94,261.8996,262.9062,263.4062,263.4062,269.4194,9999,269.4195,0,270.4168,0,1,1,31,1,1.2,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,270.417,0,270.4171,,,,273.4255,273.925,272.9229,273.4255,271.4169,177,272.9229,273.9251,274.4228,274.4228,280.4312,9999,280.4312,0,281.431,0,2,2,16,1,1.5,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,281.4313,0,281.4314,,,,284.448,284.9477,283.9395,284.4479,282.4313,348,283.9395,284.9478,285.4478,285.4478,291.4561,9999,291.4563,0,292.456,0,3,3,43,1,1.5,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,292.4563,0,292.4563,,,,295.2754,295.7726,294.767,295.2753,293.4646,309,294.767,295.7727,296.2749,296.2749,299.3922,1241.7,299.3923,3,300.3894,0,4,4,32,1,1.3,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,300.3896,0,300.3897,,,,303.516,304.0143,303.0062,303.516,301.3979,255,303.0062,304.0143,304.5143,304.5143,305.6004,546.1,305.6004,1,306.5976,0,5,5,8,1,1.6,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,306.5978,0,306.5979,,,,309.2229,309.7226,308.7145,309.2228,307.6062,78,308.7144,309.7226,310.2226,310.2226,311.6394,867,311.6396,2,312.6392,0,6,6,21,1,1.1,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,312.6394,0,312.6396,,,,315.3645,315.8642,314.8561,315.3645,313.6479,13,314.8561,315.8642,316.3642,316.3643,318.406,1307.9,318.4061,4,319.4059,0,7,7,40,1,1.2,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,319.4061,0,319.4061,,,,322.4311,322.9309,321.9228,322.4311,320.4145,32,321.9228,322.9309,323.4309,323.4309,325.1476,1107.8,325.1477,2,326.1475,0,8,8,34,1,1.5,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,326.1477,0,326.1478,,,,328.4726,328.9725,327.9644,328.4726,327.1559,14,327.9644,328.9725,329.4725,329.4725,330.581,629.9,330.5811,2,331.5808,0,9,9,18,1,0.8,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,331.581,0,331.5811,,,,334.6061,335.1058,334.0977,334.606,332.5894,148,334.0977,335.1059,335.6058,335.6058,337.1893,1182.4,337.1894,2,338.1891,0,10,10,52,1,1.5,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,338.1893,0,338.1894,,,,340.5145,341.0141,340.006,340.5144,339.1976,90,340.0059,341.0142,341.5142,341.5142,343.9392,1525.8,343.9392,5,344.9391,0,11,11,45,1,0.8,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,344.9394,0,344.9394,,,,347.3644,347.8641,346.8559,347.3643,345.9476,3,346.8559,347.8641,348.3641,348.3641,349.8559,954.8,349.8561,4,350.8558,0,12,12,10,1,0.9,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,350.856,0,350.856,,,,353.481,353.9808,352.9726,353.4809,351.8643,99,352.9726,353.9808,354.4807,354.4807,356.2641,1008.9,356.2642,2,357.264,0,13,13,3,1,1.1,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,357.2642,0,357.2643,,,,359.6833,360.1806,359.1749,359.6833,358.2643,221,359.1748,360.1807,360.6807,360.6807,362.2107,1157.9,362.2108,4,363.2057,0,14,14,28,1,0.9,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,363.2058,0,363.2059,,,,365.731,366.2308,365.2226,365.7309,364.219,48,365.2226,366.2308,366.7306,366.7306,367.964,693.9,367.9641,1,368.9639,0,15,15,47,1,1,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,368.9641,0,368.9642,,,,371.6892,372.1889,371.1809,371.6891,369.9726,131,371.1808,372.189,372.6889,372.6889,374.1641,1116.1,374.1643,2,375.164,0,16,16,4,1,1.2,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,375.1641,0,375.1642,,,,377.6892,378.1889,377.1809,377.6892,376.1725,2,377.1808,378.1889,378.689,378.689,380.2641,1079.3,380.2642,4,381.2639,0,17,17,38,1,1,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,381.2642,0,381.2642,,,,384.3891,384.8889,383.8809,384.389,382.2724,329,383.8808,384.889,385.3889,385.3889,385.439,28.7,385.4391,1,386.4389,0,18,18,17,1,1.6,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,386.439,0,386.4392,,,,389.2641,389.7638,388.7557,389.264,387.4474,100,388.7557,389.7638,390.2638,390.2638,392.0556,1121.8,392.0557,2,393.0556,0,19,19,23,1,1.3,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,393.0558,0,393.0558,,,,395.9808,396.4805,395.4725,395.9808,394.064,161,395.4724,396.4805,396.9806,396.9806,398.689,942.7,398.6891,1,399.6889,0,20,20,15,1,1.4,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,399.689,0,399.6892,,,,402.614,403.1138,402.1057,402.614,400.6975,212,402.1056,403.1138,403.6139,403.6139,405.8556,1779,405.8556,4,406.8554,0,21,21,51,1,1.4,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,406.8557,0,406.8558,,,,409.5807,410.0805,409.0723,409.5806,407.8641,75,409.0723,410.0805,410.5805,410.5805,412.7473,1558.2,412.7473,4,413.7472,0,22,22,13,1,1.2,0.7,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,413.7474,0,413.7474,,,,416.3722,416.872,415.8664,416.3722,414.758,100,415.8664,416.8721,417.3721,417.3721,418.7807,1060.6,418.7807,3,419.7826,0,23,23,39,1,1.1,0.3,Time
,,557697,001,1,24,2025-04-23_18h19.09.691,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,419.7828,0,419.7828,,,,422.4973,422.9971,421.9913,422.4973,420.7831,326,421.9913,422.9971,423.4971,423.4971,425.0054,885.5,425.0055,2,426.0053,0,24,24,22,1,1.2,0.3,Time
