ST,BlockID,Pos_index,TrialType,Condition,RandomDur1,TimeDur,Coherence1,RandomDur2,DirectionAngle,DirectionRes,Session,Coherence2,TrialID
0,0,0,Time,0,0.4,1.8,0.3,0.8,11.25,243,0,0.3,1
1,0,1,Time,HL,0.6,1,0.7,1.4,33.75,214,0,0.7,2
2,0,2,Time,LH,0.5,1.2,0.3,0.8,56.25,283,0,0.3,3
3,0,3,Time,HH,0.4,1.8,0.3,1.4,168.75,243,0,0.3,4
4,0,4,Time,HL,0.4,1.8,0.7,1.3,303.75,46,0,0.7,5
5,0,5,Time,LL,0.5,1.6,0.7,1.3,78.75,324,0,0.7,6
6,0,6,Time,LH,0.6,1.4,0.3,0.8,146.25,49,0,0.3,7
7,0,7,Time,HH,0.6,1,0.3,0.8,78.75,300,0,0.3,8
8,0,8,Time,HL,0.4,1.6,0.7,0.8,78.75,251,0,0.7,9
9,0,9,Time,LH,0.6,1.4,0.3,0.9,33.75,80,0,0.3,10
10,0,10,Time,HH,0.4,1.8,0.3,0.8,168.75,281,0,0.3,11
11,0,11,Time,HH,0.6,0.8,0.3,0.9,326.25,198,0,0.3,12
12,0,12,Time,HL,0.6,1.6,0.7,1,213.75,300,0,0.7,13
13,0,13,Time,LL,0.4,1.8,0.7,1,213.75,82,0,0.7,14
14,0,14,Time,LH,0.5,1.2,0.3,1.4,281.25,60,0,0.3,15
15,0,15,Time,HH,0.6,0.8,0.3,1.4,101.25,224,0,0.3,16
16,0,16,Time,HH,0.6,0.8,0.3,1,56.25,95,0,0.3,17
17,0,17,Time,HL,0.4,1,0.7,1,303.75,19,0,0.7,18
18,0,18,Time,LH,0.4,1.4,0.3,1,123.75,11,0,0.3,19
19,0,19,Time,HL,0.6,0.8,0.7,1,281.25,148,0,0.7,20
20,0,20,Time,LL,0.4,1.2,0.7,0.8,326.25,12,0,0.7,21
21,0,21,Time,LH,0.5,1.4,0.3,0.8,123.75,339,0,0.3,22
22,0,22,Time,HL,0.5,1.2,0.7,1.6,348.75,209,0,0.7,23
23,0,23,Time,LH,0.6,0.8,0.3,1.6,191.25,109,0,0.3,24
24,0,24,Time,HL,0.6,0.8,0.7,0.8,236.25,80,0,0.7,25
25,0,25,Time,LH,0.6,1.6,0.3,0.8,101.25,246,0,0.3,26
26,0,26,Time,HH,0.6,1,0.3,0.8,33.75,232,0,0.3,27
27,0,27,Time,HH,0.6,0.8,0.3,1.3,11.25,300,0,0.3,28
28,0,28,Time,HL,0.6,0.8,0.7,1.6,56.25,242,0,0.7,29
29,0,29,Time,LL,0.6,1.2,0.7,0.8,191.25,280,0,0.7,30
30,0,30,Time,LH,0.4,1,0.3,1.3,236.25,155,0,0.3,31
31,0,31,Time,HH,0.6,1.4,0.3,1.6,236.25,299,0,0.3,32
32,0,32,Time,HH,0.5,1.6,0.3,1.6,348.75,288,0,0.3,33
33,0,33,Time,HH,0.4,1.4,0.3,1.6,146.25,299,0,0.3,34
34,0,34,Time,HH,0.5,1.4,0.3,1.6,258.75,146,0,0.3,35
35,0,35,Time,HL,0.6,1.2,0.7,1.2,11.25,147,0,0.7,36
36,0,36,Time,LL,0.6,1,0.7,1.6,168.75,33,0,0.7,37
37,0,37,Time,LL,0.4,1,0.7,1.6,213.75,281,0,0.7,38
38,0,38,Time,LL,0.6,1.6,0.7,1.2,326.25,263,0,0.7,39
39,0,39,Time,LL,0.4,1.8,0.7,1.6,258.75,320,0,0.7,40
40,1,0,Time,0,0.6,0.8,0.3,1.6,56.25,152,0,0.3,41
41,1,1,Time,HL,0.6,1.2,0.7,1.2,78.75,45,0,0.7,42
42,1,2,Time,LH,0.4,1.8,0.3,1.6,33.75,336,0,0.3,43
43,1,3,Time,HH,0.4,1.2,0.3,1.2,236.25,183,0,0.3,44
44,1,4,Time,HL,0.5,1,0.7,0.8,168.75,104,0,0.7,45
45,1,5,Time,LL,0.6,1.2,0.7,1.4,281.25,242,0,0.7,46
46,1,6,Time,LH,0.6,1.4,0.3,1.5,326.25,142,0,0.3,47
47,1,7,Time,HH,0.5,1,0.3,0.8,11.25,145,0,0.3,48
48,1,8,Time,HL,0.6,0.8,0.7,1.2,213.75,162,0,0.7,49
49,1,9,Time,LH,0.4,1.2,0.3,1.4,191.25,71,0,0.3,50
50,1,10,Time,HH,0.4,1,0.3,1.5,326.25,121,0,0.3,51
51,1,11,Time,HH,0.5,1.4,0.3,1.2,258.75,196,0,0.3,52
52,1,12,Time,HL,0.4,1.8,0.7,1,258.75,297,0,0.7,53
53,1,13,Time,LL,0.4,1.8,0.7,1.5,348.75,213,0,0.7,54
54,1,14,Time,LH,0.6,0.8,0.3,1,213.75,285,0,0.3,55
55,1,15,Time,HH,0.6,1.2,0.3,1.5,258.75,156,0,0.3,56
56,1,16,Time,HH,0.4,1.6,0.3,1.6,281.25,349,0,0.3,57
57,1,17,Time,HL,0.5,1.4,0.7,1.6,123.75,271,0,0.7,58
58,1,18,Time,LH,0.4,1.6,0.3,1.4,146.25,99,0,0.3,59
59,1,19,Time,HL,0.6,0.8,0.7,1.6,303.75,155,0,0.7,60
60,1,20,Time,LL,0.6,0.8,0.7,1.1,78.75,174,0,0.7,61
61,1,21,Time,LH,0.6,0.8,0.3,1.4,146.25,228,0,0.3,62
62,1,22,Time,HL,0.6,1.6,0.7,1.6,348.75,166,0,0.7,63
63,1,23,Time,LH,0.6,1,0.3,1.1,303.75,225,0,0.3,64
64,1,24,Time,HL,0.4,1.4,0.7,0.8,56.25,150,0,0.7,65
65,1,25,Time,LH,0.6,1.4,0.3,0.8,168.75,94,0,0.3,66
66,1,26,Time,HH,0.4,1.8,0.3,0.8,236.25,44,0,0.3,67
67,1,27,Time,HH,0.6,1,0.3,1.6,78.75,251,0,0.3,68
68,1,28,Time,HL,0.4,1.6,0.7,0.8,33.75,245,0,0.7,69
69,1,29,Time,LL,0.4,1.6,0.7,1.2,123.75,337,0,0.7,70
